code,category_friendly_name,examples,category,parent_category
67000,Plumbing equipment and supplies,"Bathroom Accessories: Fans, Mirrors, Medicine Cabinets, Soap Dishes, Towel Bars and Rings, etc. | Bathtub and Shower Cleaners | Cathodic Protection Equipment | Cement and Cleaners (For Plastic Conduit, Fittings, and Pipe) | Compound, Pipe Joint and Tape | Drains, Grease Traps, etc. | Dryers, Hand, Electric | Grout, Pipe and Sewer | Grab Bars | Gas Meters, Indicating and Recording | Hand Tools, Including Plungers | Hydraulic Fusion Machine for Pipe | Irrigation Systems, Supplies, Parts, and Accessories | Lead: Flashings, Ingots, Sheets, etc. | Liquid Heaters, Immersion Type | Oakum | Pipe Hangers, Constant Support Type, for Power Plant Operations | Pipe Hangers, Concrete Inserts, Joint Restraints, etc. | Pipe and Utility Markers | Pipe Repair Clamps and Couplings | Pipeline Equipment and Tools (For Construction and Laying of the Pipeline) | Plumbing Brass (Tubular Goods) | Plumbing Fixtures and Parts: Lavatories, Showers, Sinks, Toilets (Water Closets), Tubs, etc. | Plumbing Trim: Faucets, Fittings, etc. | Rubber Goods and Plumbing Specialities: Gaskets, Leathers, Seats, Washers, etc. | Sealants, Waterplug | Septic Tanks and Cesspools (Other than Concrete) | Sewer Pipe Cleaning Machines, Power Driven | and Parts | Shower Stalls, Doors, and Tub Enclosures | Service Boxes and Parts | Supplies and Stops | Toilet Partitions and Doors | Vacuum Breakers | Valves, Aluminum | Valves, Brass and Copper | Valves, Bronze: Angle, Ball, Check, Gate, Globe, etc. | Valves, Butterfly, All Kinds | Valves, Chrome | Valves, Flush, All Types | and Parts | Valves, Drop-Out | Valves, Iron Body: Angle, Check, Gate, Globe, etc. | Valve Parts, Miscellaneous | Valves, Plastic: Ball, Check, Diaphragm, Globe, etc. | Valves, Semi-Steel | Valves, Solenoid Control | Valves, Stainless Steel: Angle, Ball, Check, Gate, Globe, etc. | Valves, Steel: Angle, Check, Gate, Globe, etc. | Venturi Tubes, Air and Vacuum | Water Filtration, Conditioning, and Purification Equipment for the Office and Home | Water Conservation Kits | Water Hammer Arrester | Water Heater, Residential | Water Heaters, Commercial | Water Softening Equipment, Residential | Water Softening Equipment, Commercial (Also see 890-85) | Recycled Plumbing Equipment, Accessories and Supplies","PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES",Construction supplies and services
15500,Pre-fabricated and fabricated buildings and structures,"Barriers and Enclosures, Construction | Bridge Accessories and Parts | Bridges, Prefabricated (Not Installed) | Buildings, Large, Prefabricated (Over 500 Sq.Ft.) | Building (500 Sq.Ft. and Under) | Buildings (1000 sqft and Under) | Cabins, Storage Buildings, etc. (Pre-Engineered in Kits, Ready to Assemble and Erect) | Canopies, Freestanding | Carports, Fiberglass and Plastic | Carports, Metal | Farm Structures, Prefabricated (Silos, etc.) | Field Offices and Sheds, Construction Type | Gazebos, Kiosks, and Pavilions | Greenhouses and Equipment (Including Isolation, Irrigation and Ventilation Equipment) | Guard and Watchman Huts | Houses, Club/Play | Lifeguard and Umpire/Referee Stands | Medical Structures, Prefabricated | Office Buildings, Modular and Portable | Parking Structures | Patio Covers, Fiberglass and Plastic | Patio Covers, Metal | Portable Toilets | Recycled Buildings and Structures | Residential Structures, Prefabricated | Sheds, Storage | Shelters, Decontamination (All Types) | Shelters, Bus Waiting | Shelters, Fire | Shelters, Insulated (For Remote Equipment) | Shelters, Non-Insulated | Shelters, Portable | Structures, Shade, Fabric Covered (Patio Areas, Play Areas, etc.) | Structures, Rooms, Panels, Enclosures, etc. (Radio Frequency Shielded) | Telephone Booths and Enclosures | Tunnel Accessories and Parts",BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED,Construction supplies and services
76500,Road and highway equipment,"Air Conditioners, Heaters and Ventilators for Heavy Equipment | Booms: Crane, Tractor, etc. | Brake and Clutch Parts and Accessories For Heavy Duty Equipment (Not Automotive) | Breaker/Drill, Gasoline Powered | Cab, Body and Frame Parts For Heavy Equipment | Core Drilling Rigs and Accessories | Cranes, Backhoe and Dragline | Cranes, Clamshell | Cranes, Truck Mounted Type, Heavy Duty | Crane Indicators | Crushing Machines | Crushing Plants, Elevators, Furnaces, Kilns, Pugmills, and Stabilizing Material Plants | Culvert Cleaning Equipment | Diamond Core Drills | Drill Steel and Rock Bits | Epoxy Dispensing Machines (For Placing Buttons and Markers) | Fabric Lay-Down Machines, etc. | Filters: Air, Fuel, Hydraulic, Oil, etc. (For Heavy Duty Equipment) | Hour Meters, Heavy Equipment | Hydraulic Attachments and Accessories (Hammers, Rams, etc.) | Gunite Machines | Mixers, Lime Slurry | Leaf Loaders, Heavy Duty, Truck or Trailer Mounted (See 445-43 for Hand Operated Type) | Lubrication System Accessory, Automatic | Mud Jacks and Accessories (Except Hose) | Pavement Marking Removal Equipment and Accessories | Pile Drivers and Accessories | Pneumatic Machines: Demolition Tools, Paving Breakers, Rock Cutters, Tampers, etc. | Pneumatic Tool Accessories: Bits, Chisels, Points, Spades, Tampers, etc. | Power Transmission Units: Chains, Gear Reducers, Sprockets, etc. | Rollover Protections Structures (ROPS) | Snow Blowers, Self-Propelled | Snow Blowers, Tractor Mounted | Snow Blowers, Walk-Behind | Snow Plows, Motorized | Snow Plows, Vehicle Mounted | Spreaders, Self-Propelled (For Aggregates, Sand, etc.) | Spreaders, Truck Mounted (For Aggregates, Ice Control Materials, Seal Coatings, etc.) | Sprinkler Equipment (For Roads and Streets) | Striping Machines and Accessories | Sweeper Accessories: Broom Fibers, Extension Brooms, Strips, Wire, Road Magnets, etc. | Sweepers, Drag Brooms, etc. and Parts (See Class 365 for Warehouse Power Brooms and 035-81 for Runway Sweepers) | Tampers (Except Pneumatic) and Vibrating Flat Plate Compactors | Tractor Bulldozers, Crawler and Wheel Type | Tractors, Crawler Type | Tractors, Wheel Type (Except Farm Tractors) (Including Walk-Behind Type) | Weed Burners and Accessories | Wire Rope | Wire Rope Accessories: Clamps, Clips, Cutters, Eyes, Hoists, Slings, Thimbles, Turnbuckles, Windlasses, etc. | Recycled Road and Highway Equipment and Supplies (Not Otherwise Classified)","ROAD AND HIGHWAY EQUIPMENT (EXCEPT ASPHALT, CONCRETE, AND EARTH HANDLING EQUIPMENT IN CLASSES 755 AND 760)",Construction supplies and services
77000,Roofing,"Aggregate, Gravel, Marble and Stone Chips, etc. (For Roofs) | Asphalt, Roofing | Bolts, Clips, Fasteners, etc. (For Sheet Roofing) | Cant Strips (Expansion Joint Fillers) | Caps, Roofing | Cements and Mastics, Roofing | Coatings, Roof, All Kinds | Felt, Roofing (Rolls) | Flashing, Eave Strips, Gravel Guards, Ridge Rolls, Valleys, etc. (Metal) | Flashing, Plastic | Insulation, Roof, All Kinds | Paper, Roofing | Primers, Roofing | Roofing, Aluminum: Corrugated, V-Crimp, etc. | Roofing, Asbestos-Cement: Corrugated, etc. | Roofing, Baked Enamel Sheet Steel: Corrugated, V-Crimp, etc. | Roofing: Coated, Elastomeric, Sprayed Foam, etc. | Roofing, Composition: Rolls | Roofing, Concrete Tile | Roofing, Galvanized Sheet Metal: Corrugated, V-Crimp, etc. | Roofing, Malleable Iron | Roofing, Plastic and Fiberglass: Corrugated, etc. | Roofing Repair Kits | Roofing Supplies (Not Otherwise Classified) | Roofing, Tin | Shingles, Asbestos | Shingles, Composition, Asphalt | Shingles, Fiberglass | Shingles, Metal | Shingles, Wood | Skylights, All Types | Tar, Roofing (Coal Tar Pitch) | Waterproofing Membrane and Base Sheet | Recycled Roofing Material and Supplies Including Insulation",ROOFING,Construction supplies and services
89500,Welding equipment and supplies,"Arc Welders, Electric Driven | Arc Welders, Engine Driven | Arc Welders, Wire, Self-Feeder | Electric Spot Welder | Electric Welding Torch, Flameless | Fittings for Welding Equipment | Gas Cylinder Carts, Industrial | Gas Tungsten-Arc Welder (TIG) and Specialized Accessories | Gas Shielded Metal-Arc Welder (MIG) and Specialized Accessories | Gas Welding Apparatus | Torch, Cutting | Welder/Soldering Unit, Refrigeration/Plumber Type, Single Tank, Complete | Welding Accessories: Cutting Tips, Hammers, Hose, Inspection Shields, Lighters, Lighter Flints, Soapstone, Tip Cleaner, Tip Dip, etc. | Welding Equipment and Supplies, Plastic | Welding Gloves, Protective Aprons, Capes, and Sleeves | Welding Goggles, Helmets, Chin Straps, and Face Shields | Welding Electrodes, Flux, Rods, Wire, and Soldering Compounds | Welding Electrode Oven | Welding Safety Shields/Curtains/Partitions | Welding and Brazing Tools | Recycled Welding Equipment, Accessories, and Supplies",WELDING EQUIPMENT AND SUPPLIES,Construction supplies and services
91500 | 96100 | 96200 | 91800,"Advertising, communications, and media services","Advertising Agency Services | Advertising (Notice of Bid Solicitation) | Advertising/Public Relations | Advertising, Outdoor Billboard, etc. | Answering/Paging Services | Audio Production | Audio Recording | Audio Tape Duplicating (Including Cassettes) | Audio/Video Production Services Complete | Background Music Services | Broadcasting Services, Radio | Broadcasting Services, Television | Communications Marketing Services | Conference Coordinating and Planning Services | Cable Television Services (Includes Pay-Per-View Services) | Captioned Services for the Hearing Impaired | EDI (Electronic Data Interchange) Value Added Network (VAN) Services | Editorial Services | Electronic Information and Mailing Services | DVD Duplicating Services | Facsimile (Fax) Services | Film Processing, Duplicating and Touch Up Services | Film Production | Fulfillment (Incls. Data Processing, Packaging, Labeling and Mailing of Literature as a Package) | Graphic Arts Services (Not Printing) | High Volume, Telephone Call Answering Services (See 915-05 for Low Volume Services) | Information Highway Electronic Services (Internet, World Wide Web, etc.) | Journalistic Services | Mailing Services (Incl. Collating, Packaging, Sorting and Delivery) | Mail Services, Express | Magazine Distribution Services | Media Clipping Services: Clippings, Outtakes, Critiques, Summaries, etc.(Incl. State, Local, Out-of-State and International) | Microfiche/Microfilming Services | Motion Picture Production and Distribution Services | Monitoring Services: Parolee, Patient, Convict, etc. | Newspaper and Publication Advertising | Photography (Not Including Aerial Photography) | Public Information Services (Incl. Press Releases) | Radio Commercial Production | Telephone Services, Cellular | Telephone Services Includes Installation, Moves, Changes, Adds, Programming, Training, etc. | Telephone Services, Long Distance and Local (Including Telex and Watts Services) | Television Commercial Production | Telecommunication Services (Not Otherwise Classified) | Typing and Word Processing | Telegram/Telegraph Services | Video Production | Television Services, Satellite | Video Recording | Video Tape Duplicating and Production | Voice Mail Services | Warning System Services, Citizen | Web Page Design and/or Management Services | Wiring Services, Data/Voice | Marketing Consulting | Advertising Consulting | Communications: Public Relations Consulting | Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.) | Public Opinion Surveys | Sign Painting Services | Sign Making Services",COMMUNICATIONS AND MEDIA RELATED SERVICES,Events and recreation supplies and services
66000,Alcohol and tobacco,"Alcoholic Beverages, All Types | Cigarettes | Cigars | Lighters, Cigarette | Papers and Storage Bags, Tobacco | Pipes, Smoking, All Types | and Pipe Cleaners, Filters, etc. | Snuff | Holders, Cigarette and Cigar | Tobacco, Chewing | Tobacco, Smoking | Tobacco and Smoking Accessories, Scrap or Waste | Recycled Tobacco and Alcoholic Beverages Accessories and Supplies","PIPES, TOBACCOS, SMOKING ACCESSORIES;  ALCOHOLIC BEVERAGES",Events and recreation supplies and services
05000,Art supplies,"Block Printing Supplies | Coatings, Protective (For Artwork) | Cloth (For Application of Designs and Transfers): Burlap, Linen, etc. | Drawing and Painting Supplies: Brushes, Canvas, Chalk, Colors (Acrylic, Oil, Water, etc.), Crayons, Palettes, Paper and Pads, Staples, etc. | Letter Cutting Machine | Engraving, Etching, and Lithography Equipment and Supplies | Picture Frames and Framing Supplies: Mat Cutters, Mats, Molding, Stretcher Strips, etc. | Racks, Drying (Portable and Stationary) | Recycled Art Equipment and Supplies | Sculpturing Equipment and Supplies: Casting Materials, Modeling Clay, Sculptor's Tools, etc. | Shapes, Strings, Tapes, Twists, etc. (Decorative Art Items) | Silk Screen Process Supplies | Stained Glass Supplies",ART EQUIPMENT AND SUPPLIES,Events and recreation supplies and services
88000,Audiovisual equipment and supplies,"Audio Visual Equipment and Supplies (Not Otherwise Classified) | Film Editing and Splicing Equipment and Supplies: Cement, Cleaner, Conditioner, Editors, Film Leader, Splicers, etc. | Pointers, Projection Type, Hand-Held and Stationary (110V AC and Battery Powered) | Previewers, Sorters, and Viewers (For Filmstrips, Slides, etc. -Not Projectors or Film Editors and Viewers) | Projectional Supplies: Acetate Sheets, Films, Photo-Reflex and Photo-Modifier Materials, etc. | Projection Screens, Standard and Rear-Projection Types | Projection Stands, Tables, etc., Standard and Rear-Projection Types | Projectors, Filmstrip (Standard Types Only) | Carrying Cases | Parts, and Accessories | Projectors, Motion Picture (Specialized Types Only, Including Film Loop Projectors, Rear-Projection Units, Repetitive Projectors, etc.) | Projectors, Motion Picture (Standard Type Only) | Carrying Cases | Parts, and Accessories | Projectors, Opaque | Carrying Cases | Parts | and Accessories (Epidiascopes) | Projectors, Overhead Transparency | Carrying Cases | Parts | and Accessories | Projectors, Slide (Standard Types Only) | Carrying Cases | Parts | and Accessories | Projectors (Not Otherwise Classified): Combination Filmstrip-Slide Projectors, Rear-Projection Slide Units, Rear-Projection Filmstrip Units | Recycled Visual Education Equipment, Accessories and Supplies | Shipping and Storage Accessories (For Films, Filmstrips, Slides, etc.): Cans, Carrying Cases, Cartridges, Reels, Shipping Cases, Slide Files and Trays, etc. | Storage Cabinets (For Visual Education Equipment and Supplies) | Tables, Light (Visual Education) | Transparencies (See Class 715 for Prepared Material) | Transparency Equipment",VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285),Events and recreation supplies and services
22500,Coolers and drinking water fountains,"Coolers, Electric (Including Parts) | Coolers, Non-Electric (Including Parts) | Coolers, Storage Type (Remote Refrigeration Unit), Including Parts | Recycled Drinking Fountains and Supplies","COOLERS, DRINKING WATER (WATER FOUNTAINS)",Events and recreation supplies and services
25500,Decals and stamps,"Bar Code Decals | Bedding Stamps | Cigarette Stamp, Numbered | Decals, All Other Types of Transfer (For Screen Printed see 255-28) | Decals, Heat Transfer | Decals, Pressure Sensitive Adhesive | Decals, Screen Printed | Decals, Water Transfer Type (For Cigarette Machines, Doors, Equipment, Vehicles, Windows, etc.) | Inventory and Other Small Decals | License Plate Decals | Liquor Stamps, Numbered | Recycled Decals and Stamps | Tax Stamps (Other Than Cigarette and Liquor), Numbered and Un-Numbered | Windshield Decals, Not Numbered | Windshield Decals, Numbered",DECALS AND STAMPS,Events and recreation supplies and services
03700,"Decorative materials, games, and toys","Bar Equipment and Accessories | Cards, Greeting (Including Recycled Types) | Collections: Coin, Stamp, Comic Books, etc. | Decorations: Christmas, Party, etc. | Decorative Household or Office Items (Not Otherwise Classified) | Gifts | Carnival and Fair Equipment, Accessories and Supplies | Novelties and Advertising Specialty Products | Paper, Crepe | Recycled Decorations, Games and Toys | Replicas: Food, Fruit, etc. | Soda Fountain Equipment and Accessories (Including Slush Machines; see 165-50 for Malt and Milkshake Machines) | Souvenirs: Promotional, Advertising, etc. | Toys and Games (Not Educational Type) | Video Game Machines | Video Games","AMUSEMENT, DECORATIONS, ENTERTAINMENT, TOYS, ETC.",Events and recreation supplies and services
96100 | 96200 | 91800,Food and beverage services,"Beef and Pork Processing Services | Beverage Processing Services (All Types) | Concessions, Catering, Vending: Mobile and Stationary | Dairy Products Processing Services | Fruit and Vegetable Processing Services | Food Preparation Services | Grains, Sugar, Oils and Fats Processing Services | Sugar Refining Services | Cafeteria and Restaurant Services | Food Distribution Services | Seafood and Meat Processing Services | Water Services, Bottled | Food service consulting ",,Events and recreation supplies and services
37500,Food: fresh bakery products,"Bread, Rolls, etc. (Including Brown and Serve Items) | Cakes, Cookies, and Pastries | Doughnuts, Fried Pies, Bagels, etc. | Pastry Shells | Pizzas | Taco Shells and Tortillas",FOODS: BAKERY PRODUCTS (FRESH),Events and recreation supplies and services
38000,Food: fresh dairy products,"Butter | Cottage Cheese | Cream, All Types | Desserts, Milk Based (Not Otherwise Classified) | Eggnog and Mix | Ice Cream | Ice Milk | Mellorine | Milk, All Types | Sherbet | Toppings, Whipped, Refrigerated | Yogurt | Dairy Products",FOODS: DAIRY PRODUCTS (FRESH),Events and recreation supplies and services
