TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
STATE,4600014835,EP,"ENNIS PAINT, INC.",WATERBORNE LINE TRAFFIC PAINT,2015-11-30,49489,,,,,716-243-9510,585-243-7676,
STATE,4400008696*,EP,SEE CONTRACT FOR LIST OF VENDORS,MAILROOM EQUIPMENT  ,2016-08-31,,,,,,,,
STATE,6100018634,PR,SEE CONTRACT FOR LIST OF VENDORS,"TIRES, AUTO, TRUCK, OTR & FARM",2015-08-31,49306,,,,,,,
STATE,6100025256,WC,SEE CONTRACT FOR LIST OF VENDORS,ENTERPRISE IT PERIPHERALS,2015-09-30,50365,,,,,,,
STATE,CN00030482,EP,SEE CONTRACT FOR LIST OF VENDORS,BRIDGE & HIGHWAY MAINT. MATERIALS (FORMERLY 5660-03),2019-06-30,48474,,,,,,,
STATE,CN00036886,WC,SEE CONTRACT FOR LIST OF VENDORS,HERBICIDES,2015-04-30,50252,,,,,,,
STATE,4400012694,WC,"GARTNER GROUP, INC.",IT SUBSCRIPTION SERVICES,2016-06-30,51149,56 TOP GALLANT ROAD,"STAMFORD, CT  06902-7747", rob.dickerson@gartner.com,Robert Dickerson,610-427-3426,,
U.R.A.,2014-2015*,WC,CITY SOURCE ASSOCIATES,MAINTENANCE OF CDBG-ELIGIBLE PROPERTIES,2015-03-31,50684,"401 BINGHAM STREET, STE 301","PITTSBURGH, PA 15203-1001",,William D. Harlak,412-431-3774,412-431-3787,
U.R.A.,2013-2014,WC,CITY SOURCE ASSOCIATES,MAINTENANCE OF CDBG-ELIGIBLE PROPERTIES,2014-03-31,50157,"401 BINGHAM STREET, STE 301","PITTSBURGH, PA 15203-1001",,William D. Harlak,412-431-3774,412-431-3787,
PWSA,PWSA 7*,WC,"EJ USA, Inc.",WATER & SEWER INVENTORY SUPPLIES,2015-05-02,42126,"301 SPRING STREET, PO 439","EAST JORDAN, MIO  49727",Kevin.Pushay@ejco.com,Kevin Pushay,800-874-4100, ,
PEPPM,PEPPM,WC,VARIOUS,TECHNOLOGY BIDDING & PURCHASING PROGRAM,2016-12-31,50575,,,,,,,
